2018-11-07 23:18:41,420 [Worker-12: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.miw:amazin:1.0.0-BUILD-SNAPSHOT @ C:\Users\Adrian\Desktop\Master\ARQUI\Environment\projects\Pilot_19_0\pom.xml.
2018-11-07 23:19:29,489 [Worker-12: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.miw:amazin:1.0.0-BUILD-SNAPSHOT @ C:\Users\Adrian\Desktop\Master\ARQUI\Environment\projects\Pilot_19_0\pom.xml.
2018-11-07 23:19:29,862 [Worker-0: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.miw:amazin:1.0.0-BUILD-SNAPSHOT @ C:\Users\Adrian\Desktop\Master\ARQUI\Environment\projects\Pilot_19_0\pom.xml.
2018-11-07 23:19:32,522 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-07 23:19:32,596 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-11-07 23:19:32,706 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-07 23:19:32,730 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Adrian\Desktop\Master\ARQUI\Environment\projects\Pilot_19_0\src\test\resources
2018-11-07 23:19:33,854 [Worker-10: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.miw:amazin:1.0.0-BUILD-SNAPSHOT @ C:\Users\Adrian\Desktop\Master\ARQUI\Environment\projects\Pilot_19_0\pom.xml.
2018-11-07 23:19:34,899 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-07 23:19:34,959 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-07 23:19:34,961 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-07 23:19:35,038 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Adrian\Desktop\Master\ARQUI\Environment\projects\Pilot_19_0\src\test\resources
2018-11-07 23:34:38,594 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-07 23:34:38,631 [Worker-24: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-07 23:34:38,632 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-07 23:34:38,660 [Worker-24: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Adrian\Desktop\Master\ARQUI\Environment\projects\Pilot_19_0\src\test\resources
